Salesperson,Region,Quarter,Product,Leads,Calls,Meetings,Deals,Revenue
Priya,East,Q3,Professional,149,110,34,16,"2,30,096"
Priya,East,Q4,Enterprise Suite,200,144,59,28,"4,16,220"
Priya,East,Q4,Professional,148,118,45,19,"2,20,647"
Priya,East,Q4,SMB Package,142,98,35,12,"1,62,084"
Priya,East,Q4,Add-ons,165,129,46,17,"2,66,169"
Karan,West,Q1,Add-ons,196,142,54,19,"2,85,418"
Karan,West,Q1,Enterprise Suite,97,79,25,9,"1,20,267"
Karan,West,Q2,Professional,123,98,34,15,"2,23,590"
Karan,West,Q2,Starter Plan,112,91,33,15,"1,32,795"
Karan,West,Q3,SMB Package,85,68,30,11,"91,663"
Karan,West,Q3,Enterprise Suite,159,108,34,15,"2,58,600"
Karan,West,Q3,Starter Plan,107,79,26,10,"1,79,260"
Karan,West,Q4,Enterprise Suite,154,100,34,15,"2,12,235"
Karan,West,Q4,SMB Package,130,108,35,15,"1,79,670"
Karan,West,Q4,Professional,93,73,25,11,"1,09,813"
Karan,West,Q4,Add-ons,181,153,63,25,"3,75,450"
Meera,North,Q1,Starter Plan,81,66,27,9,"1,25,406"
Meera,North,Q1,Enterprise Suite,161,133,49,18,"1,95,930"
Meera,North,Q1,Add-ons,173,130,51,22,"3,69,974"
Meera,North,Q1,SMB Package,179,133,48,22,"2,72,734"
Meera,North,Q2,SMB Package,192,142,58,25,"3,55,225"
Meera,North,Q2,Enterprise Suite,123,80,34,12,"1,37,700"
Meera,North,Q2,Add-ons,125,101,35,16,"2,00,416"
Meera,North,Q3,Enterprise Suite,172,125,47,18,"2,84,400"
Meera,North,Q3,SMB Package,162,128,47,16,"2,05,120"
Meera,North,Q3,Add-ons,108,78,26,11,"1,54,506"
Meera,North,Q3,Starter Plan,140,106,37,18,"3,06,306"
Meera,North,Q4,Starter Plan,119,83,26,9,"89,622"
Meera,North,Q4,Professional,175,132,54,20,"2,30,900"
Meera,North,Q4,SMB Package,174,129,52,25,"4,14,875"
Dev,South,Q1,Starter Plan,109,78,26,11,"1,10,803"
Dev,South,Q1,Enterprise Suite,115,75,23,9,"90,612"
Dev,South,Q1,Professional,161,132,49,23,"4,00,315"
Dev,South,Q1,SMB Package,116,86,31,11,"97,251"
Dev,South,Q2,Professional,131,98,37,16,"1,67,760"
Dev,South,Q2,Enterprise Suite,99,80,35,12,"1,44,792"
Dev,South,Q2,Add-ons,95,72,26,11,"1,28,667"
Dev,South,Q3,Professional,190,145,52,22,"1,97,692"
Dev,South,Q3,Add-ons,158,133,41,19,"2,17,683"
Dev,South,Q3,SMB Package,113,88,28,10,"92,290"
Dev,South,Q3,Starter Plan,100,65,23,10,"1,27,710"
Dev,South,Q4,SMB Package,170,120,51,18,"2,12,832"
Dev,South,Q4,Starter Plan,198,139,58,25,"2,81,025"
